case,ebno_db,rep,eval_seed,transport_blocks,trained_block_errors,ls_block_errors,trained_only_errors,ls_only_errors,both_errors,both_correct,trained_minus_ls_batch_tbler
confirmation_umi_12prb_cell212_permuted_ports,6.0,40,2037091541,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,41,2037091542,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,42,2037091543,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,43,2037091544,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,44,2037091545,256,6,2,4,0,2,250,0.015625
confirmation_umi_12prb_cell212_permuted_ports,6.0,45,2037091546,256,4,4,0,0,4,252,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,46,2037091547,256,1,3,0,2,1,253,-0.0078125
confirmation_umi_12prb_cell212_permuted_ports,6.0,47,2037091548,256,5,4,1,0,4,251,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,48,2037091549,256,0,2,0,2,0,254,-0.0078125
confirmation_umi_12prb_cell212_permuted_ports,6.0,49,2037091550,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,50,2037091551,256,3,5,1,3,2,250,-0.0078125
confirmation_umi_12prb_cell212_permuted_ports,6.0,51,2037091552,256,2,1,1,0,1,254,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,52,2037091553,256,3,2,1,0,2,253,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,53,2037091554,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,54,2037091555,256,4,3,1,0,3,252,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,55,2037091556,256,0,3,0,3,0,253,-0.01171875
confirmation_umi_12prb_cell212_permuted_ports,6.0,56,2037091557,256,4,4,0,0,4,252,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,57,2037091558,256,2,2,1,1,1,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,58,2037091559,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,59,2037091560,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,60,2037091561,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,61,2037091562,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,62,2037091563,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,63,2037091564,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,0,2037101501,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,1,2037101502,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,10.0,2,2037101503,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,3,2037101504,256,3,2,1,0,2,253,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,10.0,4,2037101505,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,5,2037101506,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,6,2037101507,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,7,2037101508,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,8,2037101509,256,3,2,1,0,2,253,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,10.0,9,2037101510,256,1,1,0,0,1,255,0.0
